team,total_win_pct,home_win_pct,away_win_pct,home_away_index,total_wins,total_losses,total_ties,total_games,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties
NE,0.6862745098039216,0.7262569832402235,0.6460674157303371,1.1241195044935632,245,112,0,357,130,49,0,115,63,0
PIT,0.6386554621848739,0.7067039106145251,0.5702247191011236,1.2393428186146351,227,128,2,357,126,52,1,101,76,1
GB,0.6120448179271709,0.702247191011236,0.5223463687150838,1.3444090608664305,217,137,3,357,124,52,2,93,85,1
BAL,0.5966386554621849,0.6983240223463687,0.4943820224719101,1.4125190452006096,213,144,0,357,125,54,0,88,90,0
SEA,0.592436974789916,0.6573033707865169,0.5279329608938548,1.2450508293204923,211,145,1,357,117,61,0,94,84,1
IND,0.5840336134453782,0.6536312849162011,0.5140449438202247,1.2715450132796045,208,148,1,357,117,62,0,91,86,1
PHI,0.5826330532212886,0.6095505617977528,0.5558659217877095,1.0965783976060075,207,148,2,357,108,69,1,99,79,1
LA,0.5818181818181818,0.5975609756097561,0.5662650602409639,1.0552672548002076,96,69,0,165,49,33,0,47,36,0
KC,0.5714285714285714,0.6201117318435754,0.5224719101123596,1.1868805190124345,204,153,0,357,111,68,0,93,85,0
SD,0.5673076923076923,0.6442307692307693,0.49038461538461536,1.3137254901960786,118,90,0,208,67,37,0,51,53,0
DAL,0.5588235294117647,0.5926966292134831,0.5251396648044693,1.12864570882142,199,157,1,357,105,72,1,94,85,0
NO,0.5518207282913166,0.5730337078651685,0.5307262569832403,1.0797161442933174,197,160,0,357,102,76,0,95,84,0
MIN,0.5406162464985994,0.6404494382022472,0.441340782122905,1.451144929597497,192,163,2,357,114,64,0,78,99,2
DEN,0.5406162464985994,0.6201117318435754,0.4606741573033708,1.3460961983921513,193,164,0,357,111,68,0,82,96,0
LAC,0.5302013422818792,0.52,0.5405405405405406,0.962,79,70,0,149,39,36,0,40,34,0
BUF,0.5196629213483146,0.6033519553072626,0.4350282485875706,1.3869259232387725,185,171,0,356,108,71,0,77,100,0
ATL,0.5042016806722689,0.5617977528089888,0.44692737430167595,1.2570224719101126,180,177,0,357,100,78,0,80,99,0
CIN,0.49719101123595505,0.5589887640449438,0.4353932584269663,1.2838709677419353,175,177,4,356,98,77,3,77,100,1
SF,0.4831932773109244,0.5308988764044944,0.43575418994413406,1.2183448573898013,172,184,1,357,94,83,1,78,101,0
CHI,0.47058823529411764,0.5224719101123596,0.41899441340782123,1.2469662921348317,168,189,0,357,93,85,0,75,104,0
HOU,0.4635854341736695,0.5279329608938548,0.398876404494382,1.3235502399874106,165,191,1,357,94,84,1,71,107,0
CAR,0.4579831932773109,0.5056179775280899,0.4106145251396648,1.2313689520752122,163,193,1,357,90,88,0,73,105,1
MIA,0.453781512605042,0.5363128491620112,0.3707865168539326,1.446419502285424,162,195,0,357,96,83,0,66,112,0
TEN,0.44537815126050423,0.48044692737430167,0.4101123595505618,1.1715007270222697,159,198,0,357,86,93,0,73,105,0
TB,0.44537815126050423,0.48314606741573035,0.40782122905027934,1.1847006310604895,159,198,0,357,86,92,0,73,106,0
NYG,0.4411764705882353,0.4747191011235955,0.40782122905027934,1.1640372479605972,157,199,1,357,84,93,1,73,106,0
ARI,0.43977591036414565,0.5056179775280899,0.3743016759776536,1.3508301190675835,156,199,2,357,89,87,2,67,112,0
DET,0.4173669467787115,0.46629213483146065,0.3687150837988827,1.2646407899216887,148,207,2,357,83,95,0,65,112,2
WAS,0.41456582633053224,0.43258426966292135,0.39664804469273746,1.0905997784459567,147,208,2,357,77,101,0,70,107,2
JAX,0.39775910364145656,0.4692737430167598,0.3258426966292135,1.4401849354652283,142,215,0,357,84,95,0,58,120,0
NYJ,0.39775910364145656,0.46368715083798884,0.33146067415730335,1.398920556765458,142,215,0,357,83,96,0,59,119,0
LV,0.38613861386138615,0.4117647058823529,0.36,1.1437908496732025,39,62,0,101,21,30,0,18,32,0
OAK,0.34375,0.3984375,0.2890625,1.3783783783783783,88,168,0,256,51,77,0,37,91,0
CLE,0.33753501400560226,0.43854748603351956,0.23595505617977527,1.8586060122372972,120,236,1,357,78,100,1,42,136,0
STL,0.3359375,0.3958333333333333,0.2760416666666667,1.4339622641509433,64,127,1,192,38,58,0,26,69,1
