Category,Num_Teams,Home_Win_Pct,Away_Win_Pct,Home_Away_Index,Home_Advantage_Gap,Home_Record,Away_Record
Cold Weather Outdoor,6,0.617,0.471,1.31,0.145,659-409-4,503-564-2
Cold Weather Indoor,3,0.587,0.441,1.33,0.146,314-221-0,234-297-5
Warm Weather Outdoor,10,0.516,0.422,1.22,0.094,920-862-2,753-1030-3
Warm Weather Indoor/Dome,3,0.531,0.458,1.16,0.073,177-156-2,154-182-0
